Country,Gold_Count,Silver_Count,Bronze_Count,Zero_Count
Plume-patte2,0,0,0,0
,,,,
Plume-Patte,0,0,0,0
,,,,
Pierre et Jean,0,0,0,0
,,,,
Fruits,0,0,0,0
,,,,
Sidi Fekkar6,0,0,0,0
,,,,
Sidi-Fekkar,0,0,0,0
,,,,
Souvenance,0,0,0,0
,,,,
Meteor,0,0,0,0
,,,,
Kurush IV,0,0,0,0
,,,,
Vesania,0,0,0,0
,,,,
Canopus,0,0,0,0
,,,,
Crabe I,0,0,0,0
,,,,
Gwendoline2,0,0,0,0
,,,,
Vicking,0,0,0,0
,,,,
Daisy,0,0,0,0
,,,,
Virginie,0,0,0,0
,,,,
Acipactli,0,0,0,0
,,,,
Pegaso,0,0,0,0
,,,,
Girl Pat,0,0,0,0
,,,,
Fada,0,0,0,0
,,,,
Bu III,0,0,0,0
,,,,
St. Margrite,0,0,0,0
,,,,
"Concordia Turnverein, St Louis",0,0,0,0
,,,,
Frip IV,0,0,0,0
,,,,
Mad Dog,0,0,0,0
,,,,
Hb4,0,0,0,0
,,,,
Hb0,0,0,0,0
,,,,
"South St Louis Turnverein, St Louis",0,0,0,0
,,,,
Unique,0,0,0,0
,,,,
Pan-Hellenic Athletic Club,0,0,0,0
,,,,
Viking,0,0,0,0
,,,,
Bermudian,0,0,0,0
,,,,
Dresden,0,0,0,0
,,,,
Mignon9,0,0,0,0
,,,,
Favorite7,0,0,0,0
,,,,
Naiad,0,0,0,0
,,,,
Pakaria,0,0,0,0
,,,,
Oxalis,0,0,0,0
,,,,
Gitana1,0,0,0,0
,,,,
Thalatta,0,0,0,0
,,,,
Trintel II,0,0,0,0
,,,,
Galopin0,0,0,0,0
,,,,
Galopin,0,0,0,0
,,,,
Rhythm,0,0,0,0
,,,,
"Turnverein Vorwrts, Chicago",0,0,0,0
,,,,
Guanahani,0,0,0,0
,,,,
Unknown,0,0,0,0
,,,,
Spirit III,0,0,0,0
,,,,
Pannonia RC/National RC,0,0,0,0
,,,,
Bella,0,0,0,0
,,,,
May-Be 1960,0,0,0,0
,,,,
Inga-Lill XXXXIII,0,0,0,0
,,,,
Nirwana,0,0,0,0
,,,,
Omilos Ereton Peiraios,0,0,0,0
,,,,
Vaxholm Roddklubb,0,0,0,0
,,,,
Tuvalu,0,0,0,0
,,,,
Proteus II,0,0,0,0
,,,,
Finn II,0,0,0,0
,,,,
Impala,0,0,0,0
,,,,
Pam,0,0,0,0
,,,,
Oleander II,0,0,0,0
,,,,
Apache,0,0,0,0
,,,,
Roklubb Kbnhavn,0,0,0,0
,,,,
Tu-Fri,0,0,0,0
,,,,
Cha-Cha III,0,0,0,0
,,,,
Augsburg,0,0,0,0
,,,,
Ariel,0,0,0,0
,,,,
Feo,0,0,0,0
,,,,
Gem II,0,0,0,0
,,,,
Gem III,0,0,0,0
,,,,
Gem VII,0,0,0,0
,,,,
Pupilles de Neptune de Lille #1,0,0,0,0
,,,,
Chaje II,0,0,0,0
,,,,
Dylan,0,0,0,0
,,,,
Moorina,0,0,0,0
,,,,
30. Februar,0,0,0,0
,,,,
Cercle Nautique de Reims,0,0,0,0
,,,,
Struten,0,0,0,0
,,,,
Ylliam II,0,0,0,0
,,,,
Paka V,0,0,0,0
,,,,
Brigantia,0,0,0,0
,,,,
Sydney Rowing Club,0,0,0,0
,,,,
Espardate,0,0,0,0
,,,,
Kannibaltje,0,0,0,0
,,,,
Xantippa,0,0,0,0
,,,,
Miss Denmark 1964,0,0,0,0
,,,,
Kemphaan,0,0,0,0
,,,,
Helsingfors R. K.,0,0,0,0
,,,,
Newfoundland,0,0,0,0
,,,,
Fram III,0,0,0,0
,,,,
Mizar,0,0,0,0
,,,,
Ubu,0,0,0,0
,,,,
"Socialer Turnverein, Detroit",0,0,0,0
,,,,
Essen,0,0,0,0
,,,,
Miss Nippon V,0,0,0,0
,,,,
Argeste,0,0,0,0
,,,,
Gullvinge,0,0,0,0
,,,,
Bajazzo,0,0,0,0
,,,,
Cinara,0,0,0,0
,,,,
Ilderim,0,0,0,0
,,,,
Tantalus,0,0,0,0
,,,,
Peiraikos Syndesmos,0,0,0,0
,,,,
Femur8,0,0,0,0
,,,,
Colette0,0,0,0,0
,,,,
Colette,0,0,0,0
,,,,
Germany/United States,0,0,0,0
,,,,
Freddy,0,0,0,0
,,,,
Rika II,0,0,0,0
,,,,
Korshun,0,0,0,0
,,,,
Patricia,0,0,0,0
,,,,
Tlaloc,0,0,0,0
,,,,
Springbok,0,0,0,0
,,,,
Aretusa,0,0,0,0
,,,,
Quicksilver,0,0,0,0
,,,,
Viktoriya,0,0,0,0
,,,,
Omilos Ereton Smyrnis,0,0,0,0
,,,,
Alcaid,0,0,0,0
,,,,
Alain IV,0,0,0,0
,,,,
Three Leaves,0,0,0,0
,,,,
K.S.S.S. 1912,0,0,0,0
,,,,
Paka,0,0,0,0
,,,,
Sheerio,0,0,0,0
,,,,
Pan II,0,0,0,0
,,,,
Pasodoble,0,0,0,0
,,,,
Freja,0,0,0,0
,,,,
Sass,0,0,0,0
,,,,
Roy,0,0,0,0
,,,,
Jet,0,0,0,0
,,,,
Salamander,0,0,0,0
,,,,
Ingegerd,0,0,0,0
,,,,
Johan,0,0,0,0
,,,,
Andromeda,0,0,0,0
,,,,
Hornet,0,0,0,0
,,,,
S. Sudan,0,0,0,0
,,,,
Chance,0,0,0,0
,,,,
Brat,0,0,0,0
,,,,
Yeoman V,0,0,0,0
,,,,
Knigsberg,0,0,0,0
,,,,
Aloha II,0,0,0,0
,,,,
Raili,0,0,0,0
,,,,
Syndi,0,0,0,0
,,,,
Vento Sul,0,0,0,0
,,,,
Miss Nippon IV,0,0,0,0
,,,,
Tramontane,0,0,0,0
,,,,
Sandra,0,0,0,0
,,,,
"Milwaukee Turnverein, Milwaukee",0,0,0,0
,,,,
Lbeck,0,0,0,0
,,,,
Yeoman,0,0,0,0
,,,,
Boer Team,0,0,0,0
,,,,
Lancet,0,0,0,0
,,,,
Lesotho,0,0,0,0
,,,,
Whisper,0,0,0,0
,,,,
Balaton,0,0,0,0
,,,,
Kuling,0,0,0,0
,,,,
Skidoo,0,0,0,0
,,,,
Tomahawk II,0,0,0,0
,,,,
Whirlaway,0,0,0,0
,,,,
Surprise,0,0,0,0
,,,,
Ciss,0,0,0,0
,,,,
MitaII,0,0,0,0
,,,,
Escapade,0,0,0,0
,,,,
Angerburg,0,0,0,0
,,,,
Barco Deloro,0,0,0,0
,,,,
Dick,0,0,0,0
,,,,
Kalayaan,0,0,0,0
,,,,
Olimpia,0,0,0,0
,,,,
Nephos I,0,0,0,0
,,,,
Tengiri,0,0,0,0
,,,,
Hayama,0,0,0,0
,,,,
John B,0,0,0,0
,,,,
Bim,0,0,0,0
,,,,
Mythilus,0,0,0,0
,,,,
Rambo,0,0,0,0
,,,,
Floresco,0,0,0,0
,,,,
Lucky,0,0,0,0
,,,,
Spirit VI,0,0,0,0
,,,,
Noreg,0,0,0,0
,,,,
Subbnboana,0,0,0,0
,,,,
"Phalainis ton Thorichtou ""Psara""",0,0,0,0
,,,,
Norman,0,0,0,0
,,,,
Olympion,0,0,0,0
,,,,
Heidelberg,0,0,0,0
,,,,
Amulet,0,0,0,0
,,,,
Crocodile,0,0,0,0
,,,,
Leipzig,0,0,0,0
,,,,
Red Indian,0,0,0,0
,,,,
Alcyon,0,0,0,0
,,,,
Suzon IV9,0,0,0,0
,,,,
Suzon IV,0,0,0,0
,,,,
Mascaret8,0,0,0,0
,,,,
Mascaret,0,0,0,0
,,,,
Sibindi,0,0,0,0
,,,,
Combine,0,0,0,0
,,,,
Stade Franais AC,0,0,0,0
,,,,
Holland,0,0,0,0
,,,,
Argo II,0,0,0,0
,,,,
State VI,0,0,0,0
,,,,
Gyp3,0,0,0,0
,,,,
Gyp,0,0,0,0
,,,,
Zefyros,0,0,0,0
,,,,
Pirouette1,0,0,0,0
,,,,
Pirouette,0,0,0,0
,,,,
Mebi,0,0,0,0
,,,,
Riccar,0,0,0,0
,,,,
Lynn,0,0,0,0
,,,,
Neptun II,0,0,0,0
,,,,
Brentina,0,0,0,0
,,,,
Nan,0,0,0,0
,,,,
Hannover,0,0,0,0
,,,,
Scamasaxe4,0,0,0,0
,,,,
Three Star Too,0,0,0,0
,,,,
Bellatrix IX,0,0,0,0
,,,,
Bellatrix XIII,0,0,0,0
,,,,
Jeanette5,0,0,0,0
,,,,
Jeannette8,0,0,0,0
,,,,
Glisten,0,0,0,0
,,,,
Grifone,0,0,0,0
,,,,
Twinkle,0,0,0,0
,,,,
Myojo,0,0,0,0
,,,,
Ducky6,0,0,0,0
,,,,
Ducky,0,0,0,0
,,,,
Souriceau8,0,0,0,0
,,,,
Souriceau,0,0,0,0
,,,,
Frieda,0,0,0,0
,,,,
Marsouin6,0,0,0,0
,,,,
Marsouin,0,0,0,0
,,,,
Persey,0,0,0,0
,,,,
Wendehals,0,0,0,0
,,,,
Titia,0,0,0,0
,,,,
Pimm,0,0,0,0
,,,,
Gustl XI,0,0,0,0
,,,,
Pop Art,0,0,0,0
,,,,
Voloira II,0,0,0,0
,,,,
Bremen,0,0,0,0
,,,,
Quando Quando,0,0,0,0
,,,,
Donar III,0,0,0,0
,,,,
Tineke,0,0,0,0
,,,,
Danuta,0,0,0,0
,,,,
Maryke,0,0,0,0
,,,,
Falcon VI,0,0,0,0
,,,,
Manana,0,0,0,0
,,,,
Rampage,0,0,0,0
,,,,
Diabolo St Maurice,0,0,0,0
,,,,
Ravel,0,0,0,0
,,,,
Astrid III,0,0,0,0
,,,,
Kln,0,0,0,0
,,,,
Demi-Mondaine5,0,0,0,0
,,,,
Demi-Mondaine7,0,0,0,0
,,,,
Nokaut II,0,0,0,0
,,,,
Almaz,0,0,0,0
,,,,
Tulilind,0,0,0,0
,,,,
Notavel,0,0,0,0
,,,,
Galopin De La Font,0,0,0,0
,,,,
Harmony,0,0,0,0
,,,,
Marie-Tim,0,0,0,0
,,,,
Orion,0,0,0,0
,,,,
Scaup,0,0,0,0
,,,,
Legionario,0,0,0,0
,,,,
Enotria,0,0,0,0
,,,,
Verveine1,0,0,0,0
,,,,
Verveine9,0,0,0,0
,,,,
Ariette,0,0,0,0
,,,,
Ariette0,0,0,0,0
,,,,
Greenoaks Dundee,0,0,0,0
,,,,
Maid of Lebanon,0,0,0,0
,,,,
Danaldo,0,0,0,0
,,,,
Giselle,0,0,0,0
,,,,
Ardilla,0,0,0,0
,,,,
Windor,0,0,0,0
,,,,
Vim III,0,0,0,0
,,,,
Lasha,0,0,0,0
,,,,
Hakahana,0,0,0,0
,,,,
Squid III,0,0,0,0
,,,,
Mamie,0,0,0,0
,,,,
C.V.A.,0,0,0,0
,,,,
Singy7,0,0,0,0
,,,,
Singy,0,0,0,0
,,,,
Hamburg,0,0,0,0
,,,,
Cuxhaven,0,0,0,0
,,,,
Danzig,0,0,0,0
,,,,
Sjovinge,0,0,0,0
,,,,
Brandenburg,0,0,0,0
,,,,
Freia9,0,0,0,0
,,,,
Freia,0,0,0,0
,,,,
Sea Dog,0,0,0,0
,,,,
Mainz,0,0,0,0
,,,,
Solos Carex,0,0,0,0
,,,,
Dow Jones,0,0,0,0
,,,,
Greenland,0,0,0,0
,,,,
Congo,0,0,0,0
